"","Time","Day_of_week","X466910","X466920","X466930","C0A980","C0A9A0","C0A9B0","C0A9C0","C0A9E0","C0A9F0","C0AC40","C0AC70","C0AC80","C0AH40","C0AH70","C1A730","C1AC50"
"2881","2015/5/1 00:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2882","2015/5/1 01:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2883","2015/5/1 02:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2884","2015/5/1 03:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2885","2015/5/1 04:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2886","2015/5/1 05:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2887","2015/5/1 06:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2888","2015/5/1 07:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2889","2015/5/1 08:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2890","2015/5/1 09:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2891","2015/5/1 10:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2892","2015/5/1 11:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2893","2015/5/1 12:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2894","2015/5/1 13:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
"2895","2015/5/1 14:00","Fri","0","0","0","0","0","0","0","0","0","0","0","7.5",NA,NA,"0","0"
"2896","2015/5/1 15:00","Fri","0","0","0","0","0","0","0","0","0","0","0","16.5",NA,NA,"0","0"
"2897","2015/5/1 16:00","Fri","0","2.4","0","0","0","0","0","2.5","0","0","0","2",NA,NA,"0.5","0"
"2898","2015/5/1 17:00","Fri","0","0","0.5","0","0","0.5","1","0.5","0","0","0.5","0",NA,NA,"0","0"
"2899","2015/5/1 18:00","Fri","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,"0","0"
